Year,palma_ratio
1994,3.100395256916996
1995,3.1002367797947907
1996,3.046948356807512
1997,3.1447784810126582
1998,3.204617834394905
1999,3.2364217252396164
2000,3.285140562248996
2001,3.4474548440065678
2002,3.6188077246011754
2003,3.7998281786941583
2004,3.9947183098591545
2005,4.201263537906137
2006,4.427777777777778
2007,4.674595623215985
2008,4.942213516160628
2009,5.224798387096774
2010,5.531185031185032
2011,5.990228013029316
2012,6.198008849557523
2013,6.259176863181313
2014,6.484676503972759
2015,6.632606199770379
2016,7.026097271648874
2017,7.195913461538462
2018,6.820601851851852
2019,6.647791619479049
2020,6.225321888412017
2021,6.277238403451995
2022,6.543333333333333
2023,6.543333333333333
2024,6.543333333333333
