Year,va_score,cc_score,ge_score
1996,50.87,49.69,45.45
1997,,,
1998,51.34,49.67,39.53
1999,,,
2000,49.47,46.62,41.82
2001,,,
2002,52.96,44.31,49.12
2003,53.43,43.53,43.77
2004,52.58,46.73,42.37
2005,52.72,42.95,44.42
2006,51.44,43.27,45.72
2007,49.49,45.06,47.03
2008,47.16,42.44,46.91
2009,47.71,43.97,49.48
2010,45.07,42.56,47.73
2011,44.85,42.83,48.16
2012,46.07,41.65,47.96
2013,45.36,41.57,48.55
2014,44.69,38.74,54.06
2015,50.08,40.95,53.09
2016,52.43,42.77,50.62
2017,52.67,41.62,49.98
2018,53.59,43.71,49.44
2019,53.66,44.54,49.95
2020,54.09,42.27,49.13
2021,52.33,41.04,46.76
2022,50.48,40.7,41.54
2023,50.27,40.02,45.81
2024,54.64,40.07,46.0
